account_cd,account_nm,list_nm,list_no
B4,수재경과보험료_차기이월미경과수재보험료,사업실적표,SI020
C,출재경과보험료,사업실적표,SI020
C1,출재경과보험료_출재보험료,사업실적표,SI020
C2,출재경과보험료_출재해약환급금환입,사업실적표,SI020
C3,출재경과보험료_전기재보험자산 I,사업실적표,SI020
C4,출재경과보험료_차기재보험자산 I,사업실적표,SI020
D,보유보험료,사업실적표,SI020
E,경과보험료,사업실적표,SI020
F,원수손해액,사업실적표,SI020
F1,원수손해액_원수보험금건수,사업실적표,SI020
F2,원수손해액_원수보험금,사업실적표,SI020
F3,원수손해액_원수보험금환입,사업실적표,SI020
F4,원수손해액_원수구상이익,사업실적표,SI020
F5,원수손해액_원수장기만기환급금,사업실적표,SI020
F6,원수손해액_원수장기해약환급금,사업실적표,SI020
FB,원수손해액_원수배당지급금,사업실적표,SI020
F7,원수손해액_원수지급준비금환입,사업실적표,SI020
F8,원수손해액_원수지급준비금적립,사업실적표,SI020
F9,원수손해액_원수장기저축성보험료적립금증가액,사업실적표,SI020
FA,원수손해액_원수계약자배당준비금증가액,사업실적표,SI020
FC,원수손해액_원수최저연금적립금보증준비금증가액,사업실적표,SI020
FD,원수손해액_원수지급손해조사비,사업실적표,SI020
G,수재손해액,사업실적표,SI020
G1,수재손해액_수재보험금,사업실적표,SI020
G2,수재손해액_수재보험금환입,사업실적표,SI020
G3,수재손해액_수재구상이익,사업실적표,SI020
G4,수재손해액_수재지급준비금환입,사업실적표,SI020
G5,수재손해액_수재지급준비금적립,사업실적표,SI020
G6,수재손해액_수재지급손해조사비,사업실적표,SI020
H,출재손해액,사업실적표,SI020
H1,출재손해액_출재보험금,사업실적표,SI020
H2,출재손해액_출재보험금환급,사업실적표,SI020
H3,출재손해액_출재구상이익,사업실적표,SI020
H4,출재손해액_전기재보험자산 II,사업실적표,SI020
H5,출재손해액_차기재보험자산 II,사업실적표,SI020
H6,출재손해액_출재수입손해조사비,사업실적표,SI020
I,경과손해율,사업실적표,SI020
I1,경과손해율_발생손해액,사업실적표,SI020
J,순사업비율,사업실적표,SI020
J1,순사업비율_사업제경비,사업실적표,SI020
J2,순사업비율_대리점수수료,사업실적표,SI020
J3,순사업비율_공동보험수수료,사업실적표,SI020
J4,순사업비율_수재보험수수료,사업실적표,SI020
J5,순사업비율_수재이익수수료,사업실적표,SI020
J6,순사업비율_지급수수료계,사업실적표,SI020
J7,순사업비율_출재보험수수료,사업실적표,SI020
J8,순사업비율_출재이익수수료,사업실적표,SI020
J9,순사업비율_수입수수료계,사업실적표,SI020
JA,순사업비율_기타수입경비,사업실적표,SI020
JB,순사업비율_순사업비,사업실적표,SI020
K,법인세차감전순이익,사업실적표,SI020
K1,법인세차감전순이익_계약자이익배당준비금환입,사업실적표,SI020
K2,법인세차감전순이익_계약자이익배당준비금적립,사업실적표,SI020
K3,법인세차감전순이익_비상위험준비금환입,사업실적표,SI020
K4,법인세차감전순이익_비상위험준비금적립,사업실적표,SI020
K5,법인세차감전순이익_보험영업이익,사업실적표,SI020
K9,법인세차감전순이익_투자손익,사업실적표,SI020
K10,법인세차감전순이익_영업외손익,사업실적표,SI020
K11,법인세차감전순이익_특별손익,사업실적표,SI020
A,경과손해율_자동차,보험종류별 경과손해율,SI136
B,경과손해율_일반,보험종류별 경과손해율,SI136
C,경과손해율_장기,보험종류별 경과손해율,SI136
D,경과손해율_합계,보험종류별 경과손해율,SI136
E,순사업비율_자동차,보험종류별 경과손해율,SI136
F,순사업비율_일반,보험종류별 경과손해율,SI136
G,순사업비율_장기,보험종류별 경과손해율,SI136
H,순사업비율_합계,보험종류별 경과손해율,SI136
I,합산비율_자동차,보험종류별 경과손해율,SI136
J,합산비율_일반,보험종류별 경과손해율,SI136
K,합산비율_장기,보험종류별 경과손해율,SI136
L,합산비율_합계,보험종류별 경과손해율,SI136
A,당기순이익,주요손익현황,SI137
A1,보험손익,주요손익현황,SI137
A11,보험손익_일반보험,주요손익현황,SI137
A12,보험손익_자동차보험,주요손익현황,SI137
A13,보험손익_장기보험,주요손익현황,SI137
A2,투자손익,주요손익현황,SI137
A,장기,보험종목별 보유보험료 현황,SI138
B,자동차,보험종목별 보유보험료 현황,SI138
C,일반,보험종목별 보유보험료 현황,SI138
D,합계,보험종목별 보유보험료 현황,SI138
A,RBC 비율,RBC 비율,SI139
A,대출전체,대출채권현황(특별계정포함),SI140
A1,가계대출,대출채권현황(특별계정포함),SI140
A2,기업대출,대출채권현황(특별계정포함),SI140
A21,기업대출_(대기업),대출채권현황(특별계정포함),SI140
A22,기업대출_(중소기업),대출채권현황(특별계정포함),SI140
A23,기업대출_부동산 PF,대출채권현황(특별계정포함),SI140
A,대출전체,대출채권연체율,SI141
A1,가계대출,대출채권연체율,SI141
A2,기업대출,대출채권연체율,SI141
A21,기업대출_(대기업),대출채권연체율,SI141
A22,기업대출_(중소기업),대출채권연체율,SI141
A23,기업대출_부동산 PF,대출채권연체율,SI141
A,가계대출,가계대출,SI142
A1,가계대출_(보험계약),가계대출,SI142
A2,가계대출_(주택담보),가계대출,SI142
A3,가계대출_(신용),가계대출,SI142
A4,가계대출_(기타),가계대출,SI142
A,가계대출,가계대출연체율,SI143
A1,가계대출_(보험계약),가계대출연체율,SI143
A2,가계대출_(주택담보),가계대출연체율,SI143
A3,가계대출_(신용),가계대출연체율,SI143
A4,가계대출_(기타),가계대출연체율,SI143
A1,임 원,09.03월 이전,SF001
A11,임 원_등기,09.03월 이전,SF001
A12,임 원_비등기,09.03월 이전,SF001
A13,임 원_감사,09.03월 이전,SF001
A2,직 원,09.03월 이전,SF001
A21,직 원_정규직원,09.03월 이전,SF001
A22,직 원_계약직원,09.03월 이전,SF001
A23,직 원_전담투자상담사,09.03월 이전,SF001
A3,기타,09.03월 이전,SF001
A,총임직원,09.03월 이전,SF001
A,본부부서,09.03월 이전,SF002
B,국내지점,09.03월 이전,SF002
C,국내영업소(출장소),09.03월 이전,SF002
D,해외지점,09.03월 이전,SF002
E,해외사무소,09.03월 이전,SF002
F,해외현지법인,09.03월 이전,SF002
A1,임 원,09.06월 이후,SF201
A11,임 원_등기,09.06월 이후,SF201
A12,임 원_비등기,09.06월 이후,SF201
A13,임 원_감사,09.06월 이후,SF201
A2,직 원,09.06월 이후,SF201
A21,직 원_정규직원,09.06월 이후,SF201
A22,직 원_비정규직원,09.06월 이후,SF201
A,총임직원,09.06월 이후,SF201
A23,투자권유대행인,09.06월 이후,SF201
A,본부부서,09.06월 이후,SF202
B,국내지점,09.06월 이후,SF202
C,국내영업소,09.06월 이후,SF202
G,국내사무소,09.06월 이후,SF202
D,해외지점,09.06월 이후,SF202
E,해외사무소,09.06월 이후,SF202
F,해외현지법인,09.06월 이후,SF202
A1,[유동자산],07.03월 이전,SF003
A11,현금과예금,07.03월 이전,SF003
A111,현금과예금_현금,07.03월 이전,SF003
A112,현금과예금_당좌예금,07.03월 이전,SF003
A113,현금과예금_외화예금,07.03월 이전,SF003
A114,현금과예금_양도성정기예금증서,07.03월 이전,SF003
A115,현금과예금_MMF,07.03월 이전,SF003
A116,현금과예금_금융어음,07.03월 이전,SF003
A117,현금과예금_기타예금,07.03월 이전,SF003
A12,예치금,07.03월 이전,SF003
A13,단기유가증권,07.03월 이전,SF003
A14,신종증권,07.03월 이전,SF003
A15,매수옵션,07.03월 이전,SF003
A16,대출채권,07.03월 이전,SF003
A161,대출채권_콜론,07.03월 이전,SF003
A162,대출채권_신용공여금,07.03월 이전,SF003
A163,대출채권_환매조건부채권매수,07.03월 이전,SF003
A164,대출채권_단기대여금,07.03월 이전,SF003
A165,대출채권_단기대출금(종금계정),07.03월 이전,SF003
A166,대출채권_할인어음(종금계정),07.03월 이전,SF003
A167,대출채권_매입대출채권,07.03월 이전,SF003
A168,대출채권_기타대출채권,07.03월 이전,SF003
A17,CMA운용자산(종금계정),07.03월 이전,SF003
A18,유동성리스자산(종금계정),07.03월 이전,SF003
A19,기타유동자산,07.03월 이전,SF003
A191,기타유동자산_미수금,07.03월 이전,SF003
A192,기타유동자산_미수수익,07.03월 이전,SF003
A193,기타유동자산_선급금,07.03월 이전,SF003
A194,기타유동자산_선급비용,07.03월 이전,SF003
A195,기타유동자산_선급법인세,07.03월 이전,SF003
A196,기타유동자산_대리점,07.03월 이전,SF003
A197,기타유동자산_본·지점,07.03월 이전,SF003
A198,기타유동자산_선물자기거래정산차금,07.03월 이전,SF003
A199,기타유동자산_파생상품자산,07.03월 이전,SF003
A19B,기타유동자산_이연세법인자산,07.03월 이전,SF003
A19A,기타유동자산_기타,07.03월 이전,SF003
A1A,유동자산대손충당금,07.03월 이전,SF003
A2,[고정자산],07.03월 이전,SF003
A21,장기유가증권,07.03월 이전,SF003
A22,투자자산,07.03월 이전,SF003
A221,투자자산_장기성예금,07.03월 이전,SF003
A222,투자자산_외화장기성예금,07.03월 이전,SF003
A223,투자자산_장기성대여금,07.03월 이전,SF003
A224,투자자산_장기대출금(종금계정),07.03월 이전,SF003
A225,투자자산_장기매입대출채권,07.03월 이전,SF003
A226,투자자산_보증금,07.03월 이전,SF003
A227,투자자산_투자부동산,07.03월 이전,SF003
A228,투자자산_기타투자자산,07.03월 이전,SF003
A23,유형자산,07.03월 이전,SF003
A231,유형자산_(감가상각누계액),07.03월 이전,SF003
A24,리스자산(종금계정),07.03월 이전,SF003
A241,리스자산(종금계정)_(감가상각누계액),07.03월 이전,SF003
A242,리스자산(종금계정)_(처분손실충당금),07.03월 이전,SF003
A25,기타고정자산,07.03월 이전,SF003
A,자산총계,07.03월 이전,SF003
A11,[유동부채],07.03월 이전,SF004
A111,[유동부채]_콜머니,07.03월 이전,SF004
A112,[유동부채]_단기차입금,07.03월 이전,SF004
A113,[유동부채]_환매조건부채권매도,07.03월 이전,SF004
A114,[유동부채]_고객예수금,07.03월 이전,SF004
A115,[유동부채]_매도유가증권,07.03월 이전,SF004
A116,[유동부채]_매도신종증권,07.03월 이전,SF004
A117,[유동부채]_발행어음(종금계정),07.03월 이전,SF004
A118,[유동부채]_CMA수탁금(종금계정),07.03월 이전,SF004
A119,[유동부채]_매도옵션,07.03월 이전,SF004
A11A,[유동부채]_기타유동부채,07.03월 이전,SF004
A12,[고정부채],07.03월 이전,SF004
A121,[고정부채]_사채,07.03월 이전,SF004
A122,[고정부채]_(사채발행차금),07.03월 이전,SF004
A123,[고정부채]_장기차입금,07.03월 이전,SF004
A1231,[고정부채]_장기차입금_원화장기차입금,07.03월 이전,SF004
A1232,[고정부채]_장기차입금_외화장기차입금,07.03월 이전,SF004
A124,[고정부채]_지급보증충당금,07.03월 이전,SF004
A126,[고정부채]_퇴직급여충당금,07.03월 이전,SF004
A127,[고정부채]_기타고정부채,07.03월 이전,SF004
A1271,[고정부채]_기타고정부채_후순위사채,07.03월 이전,SF004
A1272,[고정부채]_기타고정부채_(사채발행차금),07.03월 이전,SF004
A1273,[고정부채]_기타고정부채_후순위차입금,07.03월 이전,SF004
A1274,[고정부채]_기타고정부채_리스보증금(종금계정),07.03월 이전,SF004
A1276,[고정부채]_기타고정부채_이연법인세부채,07.03월 이전,SF004
A1275,[고정부채]_기타고정부채_기타고정부채,07.03월 이전,SF004
A1,[부채총계],07.03월 이전,SF004
A21,[자본총계]_자본금,07.03월 이전,SF004
A211,[자본총계]_자본금_보통주자본금,07.03월 이전,SF004
A212,[자본총계]_자본금_우선주자본금,07.03월 이전,SF004
A22,[자본총계]_신주청약증거금,07.03월 이전,SF004
A23,[자본총계]_자본잉여금,07.03월 이전,SF004
A231,[자본총계]_자본잉여금_주식발행초과금,07.03월 이전,SF004
A232,[자본총계]_자본잉여금_감자차익,07.03월 이전,SF004
A233,[자본총계]_자본잉여금_자기주식처분이익,07.03월 이전,SF004
A234,[자본총계]_자본잉여금_기타자본잉여금,07.03월 이전,SF004
A24,[자본총계]_이익잉여금,07.03월 이전,SF004
A241,[자본총계]_이익잉여금_이익준비금,07.03월 이전,SF004
A242,[자본총계]_이익잉여금_증권거래준비금,07.03월 이전,SF004
A243,[자본총계]_이익잉여금_선물거래책임준비금,07.03월 이전,SF004
A244,[자본총계]_이익잉여금_기업합리화적립금,07.03월 이전,SF004
A245,[자본총계]_이익잉여금_기타법정적립금,07.03월 이전,SF004
A246,[자본총계]_이익잉여금_임의적립금,07.03월 이전,SF004
A247,[자본총계]_이익잉여금_처분전이익잉여금,07.03월 이전,SF004
A25,[자본총계]_자본조정,07.03월 이전,SF004
A251,[자본총계]_자본조정_주식할인발행차금,07.03월 이전,SF004
A252,[자본총계]_자본조정_자기주식,07.03월 이전,SF004
A253,[자본총계]_자본조정_자기주식처분손실,07.03월 이전,SF004
A254,[자본총계]_자본조정_기타자본조정,07.03월 이전,SF004
A2,[자본총계],07.03월 이전,SF004
A,부채 및 자본총계,07.03월 이전,SF004
A,예수유가증권,09.03월 이전,SF005
A1,예수유가증권_위탁자유가증권,09.03월 이전,SF005
A2,예수유가증권_저축자유가증권,09.03월 이전,SF005
A3,예수유가증권_수익자유가증권,09.03월 이전,SF005
A4,예수유가증권_기타예수유가증권,09.03월 이전,SF005
B,예수양도성예금증서,09.03월 이전,SF005
C,지급보증,09.03월 이전,SF005
C1,지급보증_사채지급보증,09.03월 이전,SF005
C2,지급보증_어음지급보증(종금계정),09.03월 이전,SF005
C3,지급보증_기타지급보증(종금계정),09.03월 이전,SF005
D,예치금,09.03월 이전,SF005
D1,예치금_외화예치금,09.03월 이전,SF005
D2,예치금_원화예치금,09.03월 이전,SF005
E,파생상품계약내역,09.03월 이전,SF005
E1,파생상품계약내역_이자율관련거래,09.03월 이전,SF005
E2,파생상품계약내역_통화관련거래,09.03월 이전,SF005
E3,파생상품계약내역_주식관련거래,09.03월 이전,SF005
E4,파생상품계약내역_기타,09.03월 이전,SF005
F,대차유가증권,09.03월 이전,SF005
F1,대차유가증권_대여유가증권,09.03월 이전,SF005
F2,대차유가증권_차입유가증권,09.03월 이전,SF005
G,배서어음매출(종금계정),09.03월 이전,SF005
G1,배서어음매출(종금계정)_담보부,09.03월 이전,SF005
G2,배서어음매출(종금계정)_무담보부,09.03월 이전,SF005
A1,고객예탁금,주요자금조달및운용(07.03월 이전),SF006
A2,"선물,옵션거래예수금",주요자금조달및운용(07.03월 이전),SF006
A3,청약자예수금,주요자금조달및운용(07.03월 이전),SF006
A4,기타예수금,주요자금조달및운용(07.03월 이전),SF006
A5,환매조건부채권매도,주요자금조달및운용(07.03월 이전),SF006
A6,단기차입금,주요자금조달및운용(07.03월 이전),SF006
A7,사채,주요자금조달및운용(07.03월 이전),SF006
A8,장기차입금,주요자금조달및운용(07.03월 이전),SF006
A9,후순위사채 및 후순위차입금,주요자금조달및운용(07.03월 이전),SF006
AA,퇴직급여충당금,주요자금조달및운용(07.03월 이전),SF006
AB,기타부채,주요자금조달및운용(07.03월 이전),SF006
AC,자본총계,주요자금조달및운용(07.03월 이전),SF006
A,조달(운용)계,주요자금조달및운용(07.03월 이전),SF006
B1,현금과예금,주요자금조달및운용(07.03월 이전),SF006
B2,예치금,주요자금조달및운용(07.03월 이전),SF006
B3,단기매매주식,주요자금조달및운용(07.03월 이전),SF006
B4,단기매매채권,주요자금조달및운용(07.03월 이전),SF006
B5,단기매매수익증권,주요자금조달및운용(07.03월 이전),SF006
B6,단기매매기업융통어음,주요자금조달및운용(07.03월 이전),SF006
B7,매수옵션,주요자금조달및운용(07.03월 이전),SF006
B8,대출채권,주요자금조달및운용(07.03월 이전),SF006
B9,증권미수금,주요자금조달및운용(07.03월 이전),SF006
BA,미수수익,주요자금조달및운용(07.03월 이전),SF006
BB,선급금,주요자금조달및운용(07.03월 이전),SF006
BC,장기유가증권,주요자금조달및운용(07.03월 이전),SF006
BD,투자자산,주요자금조달및운용(07.03월 이전),SF006
BE,유형자산,주요자금조달및운용(07.03월 이전),SF006
BF,기타자산,주요자금조달및운용(07.03월 이전),SF006
A,영업수익,07.03월 이전,SF007
A1,수수료수익,07.03월 이전,SF007
A11,수수료수익_수탁수수료,07.03월 이전,SF007
A1G,수수료수익_외화증권수탁수수료,07.03월 이전,SF007
A1D,수수료수익_장외거래수수료,07.03월 이전,SF007
A12,수수료수익_인수 및 주선수수료,07.03월 이전,SF007
A1E,수수료수익_외화증권 인수 및 주선수수료,07.03월 이전,SF007
A13,수수료수익_사채모집수탁수수료,07.03월 이전,SF007
A14,수수료수익_수익증권취급수수료,07.03월 이전,SF007
A15,수수료수익_기업융통어음중개수수료,07.03월 이전,SF007
A16,수수료수익_사채보증수수료,07.03월 이전,SF007
A17,수수료수익_양도성예금증서중개수수료,07.03월 이전,SF007
A18,수수료수익_어음지급보증료,07.03월 이전,SF007
A19,수수료수익_자산관리수수료,07.03월 이전,SF007
A1B,수수료수익_자문수수료,07.03월 이전,SF007
A1C,수수료수익_신종증권판매수수료,07.03월 이전,SF007
A1F,수수료수익_Wrap 수수료,07.03월 이전,SF007
A1A,수수료수익_기타수수료수익,07.03월 이전,SF007
A2,이자수익,07.03월 이전,SF007
A3,배당금수익,07.03월 이전,SF007
A4,분배금수익,07.03월 이전,SF007
A5,단기매매증권매매이익,07.03월 이전,SF007
A6,단기매매증권평가이익,07.03월 이전,SF007
A7,신종증권거래이익,07.03월 이전,SF007
A8,매도유가증권평가이익,07.03월 이전,SF007
AF,매도신종증권거래이익,07.03월 이전,SF007
A9,별도예치금평가이익,07.03월 이전,SF007
AA,파생상품거래이익,07.03월 이전,SF007
AA1,파생상품거래이익_선물거래이익,07.03월 이전,SF007
AA2,파생상품거래이익_장내옵션거래이익,07.03월 이전,SF007
AA3,파생상품거래이익_장외파생상품거래이익,07.03월 이전,SF007
AB,CMA운용수익,07.03월 이전,SF007
AC,CMA운용수수료,07.03월 이전,SF007
AD,리스수익,07.03월 이전,SF007
AG,대출채권매각이익,07.03월 이전,SF007
AE,기타영업수익,07.03월 이전,SF007
B,영업비용,07.03월 이전,SF007
B1,수수료비용,07.03월 이전,SF007
B11,수수료비용_매매수수료,07.03월 이전,SF007
B12,수수료비용_투자상담사수수료,07.03월 이전,SF007
B13,수수료비용_기타수수료비용,07.03월 이전,SF007
B2,이자비용,07.03월 이전,SF007
B3,단기매매증권매매손실,07.03월 이전,SF007
B4,단기매매증권평가손실,07.03월 이전,SF007
B5,신종증권거래손실,07.03월 이전,SF007
B6,매도유가증권평가손실,07.03월 이전,SF007
BB,매도신종증권거래손실,07.03월 이전,SF007
B7,별도예치금평가손실,07.03월 이전,SF007
B8,파생금융상품거래손실,07.03월 이전,SF007
B81,파생금융상품거래손실_선물거래손실,07.03월 이전,SF007
B82,파생금융상품거래손실_장내옵션거래손실,07.03월 이전,SF007
B83,파생금융상품거래손실_장외파생상품거래손실,07.03월 이전,SF007
B9,리스비용,07.03월 이전,SF007
BC,대출채권매각손실,07.03월 이전,SF007
BA,판매비와관리비,07.03월 이전,SF007
C,기타영업비용,07.03월 이전,SF007
D,영업이익,07.03월 이전,SF007
E,영업외수익,07.03월 이전,SF007
F,영업외비용,07.03월 이전,SF007
G,경상이익,07.03월 이전,SF007
H,특별이익,07.03월 이전,SF007
I,특별손실,07.03월 이전,SF007
J,법인세차감전순이익,07.03월 이전,SF007
K,법인세비용,07.03월 이전,SF007
L,당기순이익,07.03월 이전,SF007
A1,[현금 및 예치금],07.06월 이후,SF103
A2,[현금 및 예치금]_현금 및 현금성 자산,07.06월 이후,SF103
A3,[현금 및 예치금]_현금 및 현금성 자산_현금,07.06월 이후,SF103
A4,[현금 및 예치금]_현금 및 현금성 자산_현금_당좌예금,07.06월 이후,SF103
A5,[현금 및 예치금]_현금 및 현금성 자산_현금_외화예금,07.06월 이후,SF103
A6,[현금 및 예치금]_현금 및 현금성 자산_현금_양도성예금증서,07.06월 이후,SF103
A7,[현금 및 예치금]_현금 및 현금성 자산_현금_양도성예금증서_MMF,07.06월 이후,SF103
A8,[현금 및 예치금]_현금 및 현금성 자산_현금_양도성예금증서_금융어음,07.06월 이후,SF103
A9,[현금 및 예치금]_예치금,07.06월 이후,SF103
A10,[유가증권],07.06월 이후,SF103
A11,[유가증권]_단기매매증권,07.06월 이후,SF103
A12,[유가증권]_매도가능증권,07.06월 이후,SF103
A13,[유가증권]_만기보유증권,07.06월 이후,SF103
A14,[유가증권]_지분법적용투자주식,07.06월 이후,SF103
A15,[유가증권]_신종증권,07.06월 이후,SF103
A16,[파생상품],07.06월 이후,SF103
A17,[대출채권],07.06월 이후,SF103
A18,[대출채권]_콜론,07.06월 이후,SF103
A19,[대출채권]_신용공여금,07.06월 이후,SF103
A20,[대출채권]_환매조건부채권매수,07.06월 이후,SF103
A21,[대출채권]_대여금,07.06월 이후,SF103
A22,[대출채권]_대출금(종금계정),07.06월 이후,SF103
A23,[대출채권]_할인어음(종금계정),07.06월 이후,SF103
A24,[대출채권]_매입 대출채권,07.06월 이후,SF103
A25,[대출채권]_대지급금,07.06월 이후,SF103
A26,[대출채권]_부도채권,07.06월 이후,SF103
A27,[대출채권]_부도어음,07.06월 이후,SF103
A28,[대출채권]_기타 대출채권,07.06월 이후,SF103
A29,[대출채권]_대손충당금(-),07.06월 이후,SF103
A30,[유형자산],07.06월 이후,SF103
A31,[유형자산]_(감가상각누계액),07.06월 이후,SF103
A32,[CMA운용자산(종금계정)],07.06월 이후,SF103
A33,[리스자산(종금계정)],07.06월 이후,SF103
A34,[기타자산],07.06월 이후,SF103
A35,[기타자산]_미수금,07.06월 이후,SF103
A36,[기타자산]_미수수익,07.06월 이후,SF103
A37,[기타자산]_선급금,07.06월 이후,SF103
A38,[기타자산]_선급비용,07.06월 이후,SF103
A39,[기타자산]_선급법인세,07.06월 이후,SF103
A40,[기타자산]_대리점,07.06월 이후,SF103
A41,[기타자산]_본·지점,07.06월 이후,SF103
A42,[기타자산]_선물자기거래정산차금,07.06월 이후,SF103
A43,[기타자산]_보증금,07.06월 이후,SF103
A44,[기타자산]_투자부동산,07.06월 이후,SF103
A45,[기타자산]_손해배상공동기금,07.06월 이후,SF103
A46,[기타자산]_무형자산,07.06월 이후,SF103
A47,[기타자산]_이연법인세자산,07.06월 이후,SF103
A48,[기타자산]_기타,07.06월 이후,SF103
A49,[기타자산]_대손충당금(-),07.06월 이후,SF103
A50,[기타자산]_현재가치할인차금(-),07.06월 이후,SF103
A51,자산총계,07.06월 이후,SF103
A1,[예수부채],07.06월 이후,SF104
A2,[예수부채]_고객예수금,07.06월 이후,SF104
A3,[자본금]_신용대주담보금,07.06월 이후,SF104
A4,[기타포괄손익누계액]_수입담보금,07.06월 이후,SF104
A5,[이익잉여금]_리스보증금(종금계정),07.06월 이후,SF104
A6,[예수부채]_CMA수탁금(종금계정),07.06월 이후,SF104
A7,[차입부채],07.06월 이후,SF104
A8,[차입부채]_콜머니,07.06월 이후,SF104
A9,[차입부채]_차입금,07.06월 이후,SF104
A10,[예수부채]_환매조건부채권매도,07.06월 이후,SF104
A11,[예수부채]_매도유가증권,07.06월 이후,SF104
A12,[예수부채]_매도 신종증권,07.06월 이후,SF104
A13,[예수부채]_파생상품,07.06월 이후,SF104
A14,[예수부채]_사채,07.06월 이후,SF104
A15,[예수부채]_사채_(사채발행차금),07.06월 이후,SF104
A16,[예수부채]_후순위사채,07.06월 이후,SF104
A17,[예수부채]_후순위사채_(사채발행차금),07.06월 이후,SF104
A18,[예수부채]_후순위차입금,07.06월 이후,SF104
A19,[예수부채]_발행어음(종금계정),07.06월 이후,SF104
A20,[기타부채],07.06월 이후,SF104
A21,[기타부채]_지급보증충당금,07.06월 이후,SF104
A22,[기타부채]_퇴직급여충당금,07.06월 이후,SF104
A23,[기타부채]_퇴직연금미지급금,07.06월 이후,SF104
A24,[기타부채]_임대보증금,07.06월 이후,SF104
A25,[기타부채]_선수수익,07.06월 이후,SF104
A26,[기타부채]_부채총계,07.06월 이후,SF104
A27,[자본금],07.06월 이후,SF104
A28,[자본금]_보통주자본금,07.06월 이후,SF104
A29,[자본금]_우선주자본금,07.06월 이후,SF104
A30,[자본잉여금],07.06월 이후,SF104
A31,[자본잉여금]_주식발행초과금,07.06월 이후,SF104
A32,[자본잉여금]_감자차익,07.06월 이후,SF104
A33,[자본잉여금]_자기주식처분이익,07.06월 이후,SF104
A34,[자본조정],07.06월 이후,SF104
A35,[자본조정]_주식할인발행차금,07.06월 이후,SF104
A36,[자본조정]_자기주식,07.06월 이후,SF104
A37,[자본조정]_자기주식처분손실,07.06월 이후,SF104
A38,[자본조정]_주식매입선택권,07.06월 이후,SF104
A39,[기타포괄손익누계액],07.06월 이후,SF104
A40,[기타포괄손익누계액]_매도가능증권평가손익,07.06월 이후,SF104
A41,[기타포괄손익누계액]_지분법 자본변동,07.06월 이후,SF104
A42,[기타포괄손익누계액]_부의 지분법 자본변동,07.06월 이후,SF104
A43,[기타포괄손익누계액]_파생상품 평가손익,07.06월 이후,SF104
A44,[기타포괄손익누계액]_해외사업환산차(대),07.06월 이후,SF104
A45,[이익잉여금],07.06월 이후,SF104
A46,[이익잉여금]_이익준비금,07.06월 이후,SF104
A47,[이익잉여금]_선물거래책임준비금,07.06월 이후,SF104
A48,[이익잉여금]_전자금융사고배상준비금,07.06월 이후,SF104
A49,[이익잉여금]_미처분이익잉여금,07.06월 이후,SF104
A50,자본총계,07.06월 이후,SF104
A51,부채 및 자본총계,07.06월 이후,SF104
A1,[영업수익],07.06월 이후,SF107
A2,수수료수익,07.06월 이후,SF107
A3,수수료수익_수탁수수료,07.06월 이후,SF107
A4,수수료수익_인수 및 주선수수료,07.06월 이후,SF107
A5,수수료수익_사채모집수탁수수료,07.06월 이후,SF107
A6,수수료수익_수익증권취급수수료,07.06월 이후,SF107
A7,수수료수익_수익증권취급수수료_어음지급보증료,07.06월 이후,SF107
A8,수수료수익_수익증권취급수수료_자산관리수수료,07.06월 이후,SF107
A9,수수료수익_수익증권취급수수료_자문수수료,07.06월 이후,SF107
A10,신종증권판매수수료,07.06월 이후,SF107
A11,수수료수익_신탁보수,07.06월 이후,SF107
A12,수수료수익_기타,07.06월 이후,SF107
A13,유가증권평가 및 처분이익,07.06월 이후,SF107
A14,유가증권평가 및 처분이익_단기매매증권처분이익,07.06월 이후,SF107
A15,유가증권평가 및 처분이익_단기매매증권평가이익,07.06월 이후,SF107
A16,유가증권평가 및 처분이익_매도가능증권처분이익,07.06월 이후,SF107
A17,유가증권평가 및 처분이익_만기보유증권처분이익,07.06월 이후,SF107
A18,유가증권평가 및 처분이익_유가증권감액손실환입,07.06월 이후,SF107
A19,유가증권평가 및 처분이익_매도유가증권평가이익,07.06월 이후,SF107
A20,유가증권평가 및 처분이익_신종증권처분이익,07.06월 이후,SF107
A21,유가증권평가 및 처분이익_신종증권평가이익,07.06월 이후,SF107
A22,유가증권평가 및 처분이익_신종증권상환이익,07.06월 이후,SF107
A23,유가증권평가 및 처분이익_매도신종증권평가이익,07.06월 이후,SF107
A24,유가증권평가 및 처분이익_매도신종증권상환이익,07.06월 이후,SF107
A25,파생상품 거래 이익,07.06월 이후,SF107
A26,파생상품 거래 이익_선물거래이익,07.06월 이후,SF107
A27,파생상품 거래 이익_장내옵션거래이익,07.06월 이후,SF107
A28,파생상품 거래 이익_장외파생상품거래이익,07.06월 이후,SF107
A29,이자수익,07.06월 이후,SF107
A30,대출채권 평가 및 처분이익,07.06월 이후,SF107
A31,외환거래이익,07.06월 이후,SF107
A32,기타 영업수익,07.06월 이후,SF107
A33,[ 영업비용],07.06월 이후,SF107
A34,수수료비용,07.06월 이후,SF107
A35,유가증권평가 및 처분손실,07.06월 이후,SF107
A36,유가증권평가 및 처분손실_단기매매증권처분손실,07.06월 이후,SF107
A37,유가증권평가 및 처분손실_단기매매증권평가손실,07.06월 이후,SF107
A38,유가증권평가 및 처분손실_매도가능증권처분손실,07.06월 이후,SF107
